OBJECT,CATEGORY,SUBCATEGORY
FERRET,SEWING,TRIM
FRINGE,SEWING,TRIM
LACE,SEWING,TRIM
PRETTY,SEWING,TRIM
RIBBON,SEWING,TRIM
TWIST,SEWING,TRIM
CALLICO,TEXTILE,COTTON
CHINTZ,TEXTILE,COTTON
COTTON,TEXTILE,COTTON
HUMHUM,TEXTILE,COTTON
MUSLIN,TEXTILE,COTTON
NANKEEN,TEXTILE,COTTON
CANVAS,TEXTILE,HEMP
HESSIAN,TEXTILE,HEMP
ALLOPEEN,TEXTILE,LINEN
BEARSKIN,TEXTILE,LINEN
BUCKRAM,TEXTILE,LINEN
CAMBRICK,TEXTILE,LINEN
DRILLING,TEXTILE,LINEN
GARLIX,TEXTILE,LINEN
LAWN,TEXTILE,LINEN
LINEN,TEXTILE,LINEN
MOHAIR,TEXTILE,LINEN
OZNABRIG,TEXTILE,LINEN
PLAIN,TEXTILE,LINEN
SHAGG,TEXTILE,LINEN
SHAM,TEXTILE,LINEN
SHEETING,TEXTILE,LINEN
VELVET,TEXTILE,LINEN
BOMBAZINE,TEXTILE,MIXED
JEAN,TEXTILE,MIXED
SERGE,TEXTILE,MIXED
TAPSEL,TEXTILE,MIXED
ALLAMODE,TEXTILE,SILK
PERSIAN,TEXTILE,SILK
SILK,TEXTILE,SILK
CHECK,TEXTILE,UNSPEC
CRAPE,TEXTILE,UNSPEC
DAMASK,TEXTILE,UNSPEC
DIMITY,TEXTILE,UNSPEC
DOWLAS,TEXTILE,UNSPEC
DRAB,TEXTILE,UNSPEC
DRUGGET,TEXTILE,UNSPEC
BROADCLOTH,TEXTILE,WOOLEN
DUFFLE,TEXTILE,WOOLEN
FRIEZE,TEXTILE,WOOLEN
HALF THICK,TEXTILE,WOOLEN
KERSEY,TEXTILE,WOOLEN
PLUSH,TEXTILE,WOOLEN
SWANSKIN,TEXTILE,WOOLEN
CALIMANCO,TEXTILE,WORSTED
CAMBLET,TEXTILE,WORSTED
FLORETTA,TEXTILE,WORSTED
SHALLOON,TEXTILE,WORSTED
STUFF,TEXTILE,WORSTED
TAMMY,TEXTILE,WORSTED
AWL,TOOL,---
COMPASS,TOOL,---
FILE,TOOL,---
GIMBLET,TOOL,---
GOUGE,TOOL,---
HAMMER,TOOL,---
HANDSAW,TOOL,---
RULE,TOOL,---
SHEARS,TOOL,---
FLEAM,TOOL,MEDICAL
GRINDSTONE,TOOL,---
LANCET,TOOL,MEDICAL
TREPAN,TOOL,MEDICAL
MENDING,SERVICE,---
ALTERING,SERVICE,---
